City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
188,thompson,55.7435,-97.8558,10.09,50,75,4.12,CA,1712771000
189,kuraymah,18.55,31.85,27.94,11,60,5.12,SD,1712770955
190,nar'yan-mar,67.6713,53.087,-13.83,96,51,2.68,RU,1712771000
191,falam,22.9167,93.6833,18.34,32,52,1.97,MM,1712771000
192,villa gesell,-37.2639,-56.973,16.7,47,99,9.04,AR,1712771001
193,humaita,-7.5061,-63.0208,33.16,57,79,1.45,BR,1712771001
194,hithadhoo,-0.6,73.0833,29.8,70,100,3.59,MV,1712771001
195,two rivers,44.1539,-87.5693,18.31,42,0,3.6,US,1712771001
196,rongelap,11.1635,166.8941,26.83,84,99,9.98,MH,1712771001
197,khandyga,62.6667,135.6,-9.02,97,100,1.51,RU,1712771001
198,port macquarie,-31.4333,152.9167,16.61,70,90,6.76,AU,1712771002
199,plaquemine,30.2891,-91.2343,19.08,84,95,9.77,US,1712771002
200,polyarnyy,69.1989,33.4478,3.25,99,100,12.66,RU,1712771002
201,polohy,47.4844,36.2536,16.73,41,5,2.71,UA,1712771002
202,zaragoza,41.6561,-0.8773,19.71,28,0,12.86,ES,1712771002
203,bel ombre,-4.6167,55.4167,26.91,89,20,1.54,SC,1712771002
204,invercargill,-46.4,168.35,12.23,98,100,2.68,NZ,1712771002
205,kingston,17.997,-76.7936,31.76,65,75,8.23,JM,1712770705
206,arraial do cabo,-22.9661,-42.0278,28.98,78,20,6.17,BR,1712770800
207,deir ez-zor,35.3359,40.1408,21.46,38,40,3.75,SY,1712771003
208,nova sintra,14.8667,-24.7167,22.62,77,4,8.38,CV,1712771003
209,sarayonu,38.262,32.4046,14.79,69,86,2.75,TR,1712771003
210,bardai,11.65,7.2333,34.04,15,42,4.46,NG,1712771004
211,walvis bay,-22.9575,14.5053,18.53,72,20,3.09,NA,1712771004
212,la ronge,55.1001,-105.2842,10.14,34,40,3.6,CA,1712771004
213,koya,34.2129,135.6224,6.51,89,74,2.02,JP,1712771004
214,al ghayzah,16.2079,52.176,27.17,71,2,4.77,YE,1712771004
215,barra,-11.0894,-43.1417,32.11,47,47,2.74,BR,1712770795
216,keflavik,64.0049,-22.5624,6.95,65,100,7.2,IS,1712770875
217,coquimbo,-29.9533,-71.3436,14.85,88,100,3.6,CL,1712770996
218,wynyard,-41.0,145.7167,10.21,82,7,4.22,AU,1712771005
219,burabay,53.0838,70.3138,0.27,97,100,4.92,KZ,1712771005
220,yardimli,38.9206,48.2372,10.94,98,100,0.83,AZ,1712771005
221,xai-xai,-25.0519,33.6442,23.28,70,59,5.87,MZ,1712771006
222,whitehorse,60.7161,-135.0538,0.57,64,100,4.12,CA,1712770861
223,susner,23.95,76.0833,25.19,49,100,3.54,IN,1712771006
224,lompoc,34.6391,-120.4579,22.66,55,0,2.06,US,1712771006
